Valgdistrikt;Innbyggere pr. 1.1.2020;Areal pr. 1.1.2020 (km2)
Østfold;299447;4004
Akershus;675240;5669
Oslo;693494;454
Hedmark;197920;27398
Oppland;173465;24675
Buskerud;266478;14920
Vestfold;246041;2168
Telemark;173355;15298
Aust-Agder;118273;9155
Vest-Agder;188958;7278
Rogaland;479892;9377
Hordaland;528127;15438
Sogn og Fjordane;108404;18433
Møre og Romsdal;265238;14356
Sør-Trøndelag;334514;20257
Nord-Trøndelag;134188;21944
Nordland;241235;38155
Troms Romsa;167839;26198
Finnmark Finnmárku;75472;48631
